date,A005930,A000660,A035720,A035420,A051910,A006400,A005380,A068270,A114800
2010-01-04,16180.0,24100.0,14679.999999999998,60497.39400000002,224000.0,148000.0,119000.0,14124.283283541528,9385.0
2010-01-05,16440.0,23350.0,14799.999999999998,60497.39400000002,222500.0,144000.0,110000.0,14305.363838458728,9420.0
2010-01-06,16820.0,24550.0,14859.999999999998,60183.936000000016,222500.0,144500.0,111000.0,14622.254809563823,9330.0
2010-01-07,16260.0,24400.0,14679.999999999998,60340.66500000002,213000.0,137000.0,106000.0,14305.363838458728,9480.0
2010-01-08,16420.0,24650.0,14579.999999999998,58303.18800000003,216000.0,136500.0,106000.0,14486.444393375928,9430.0
2010-01-11,15940.0,24000.0,14399.999999999998,57519.54300000001,214000.0,131500.0,101500.0,14441.174254646628,9450.0
2010-01-12,16180.0,24050.0,14499.999999999998,60183.936000000016,221500.0,134500.0,103000.0,14260.093699729428,9450.0
2010-01-13,15940.0,24050.0,14359.999999999998,58616.64600000002,216500.0,135000.0,102000.0,13943.202728624328,9585.0
2010-01-14,16540.0,25450.0,14219.999999999998,57206.08500000002,225000.0,136500.0,103500.0,14079.013144812228,9495.0
2010-01-15,16840.0,26100.0,15499.999999999998,56735.89800000002,227000.0,133000.0,108000.0,15527.657584149822,9445.0
2010-01-18,16860.0,25900.0,15379.999999999998,58459.91700000002,234000.0,143000.0,108000.0,15346.57702923262,9370.0
2010-01-19,16460.0,25600.0,14999.999999999998,58146.45900000001,231000.0,138500.0,104500.0,15572.927722879118,9360.0
2010-01-20,16680.0,25400.0,14979.999999999998,58303.18800000003,225500.0,139500.0,103500.0,15391.847167961922,9370.0
2010-01-21,17000.0,25950.0,14799.999999999998,59243.56200000001,225000.0,139000.0,109000.0,15663.46800033772,9300.0
2010-01-22,16500.0,26100.0,14579.999999999998,57833.00100000001,220000.0,137000.0,109500.0,15391.847167961922,9535.0
2010-01-25,16840.0,26050.0,14419.999999999998,58930.10400000002,219000.0,137000.0,111000.0,15029.686058127525,9570.0
2010-01-26,16300.0,23600.0,14099.999999999998,58616.64600000002,209500.0,136000.0,108500.0,14531.714532105227,9780.0
2010-01-27,16000.0,23250.0,13939.999999999998,57989.73000000001,207500.0,139500.0,109000.0,14712.795087022425,9845.0
2010-01-28,16160.0,23600.0,14479.999999999998,57049.35600000002,211000.0,141500.0,113500.0,14848.605503210325,9740.0
2010-01-29,15680.0,22750.0,14119.999999999998,54228.23400000001,200000.0,136000.0,113000.0,14441.174254646628,10015.0
2010-02-01,15540.0,23100.0,14359.999999999998,52817.67300000001,204000.0,134000.0,116000.0,14169.553422270828,9970.0
2010-02-02,15440.0,22000.0,14559.999999999998,52817.67300000001,203000.0,129500.0,112000.0,15120.226335586123,10045.0
2010-02-03,15540.0,21300.0,14439.999999999998,52190.75700000001,208000.0,130000.0,112000.0,15844.54855525492,9915.0
2010-02-04,15520.0,21750.0,13999.999999999998,53914.77600000001,206500.0,131500.0,116000.0,16070.899248901418,9935.0
2010-02-05,15000.0,21300.0,13559.999999999998,52347.48600000001,205000.0,127000.0,115500.0,15572.927722879118,10245.0
2010-02-08,14960.0,21700.0,13299.999999999998,53131.13100000001,209000.0,127500.0,116000.0,15391.847167961922,10320.0
2010-02-09,15220.0,22650.0,13419.999999999998,51407.11200000001,209500.0,127500.0,116500.0,15663.46800033772,10185.0
2010-02-10,15100.0,22700.0,13839.999999999998,50466.73800000001,206000.0,127000.0,114000.0,15618.197861608418,10230.0
2010-02-11,15260.0,21950.0,14299.999999999998,52347.48600000001,209000.0,130500.0,116000.0,15708.73813906702,10025.0
2010-02-12,15000.0,21600.0,14379.999999999998,54384.96300000001,206500.0,132000.0,116000.0,15844.54855525492,10080.0
2010-02-16,15120.0,21300.0,14359.999999999998,55325.33700000002,211000.0,132500.0,117000.0,15799.278416525618,10010.0
2010-02-17,15580.0,22350.0,14579.999999999998,55482.066000000006,212500.0,133500.0,117500.0,16297.249942547915,9835.0
2010-02-18,15500.0,22150.0,14499.999999999998,54071.50500000001,212500.0,133000.0,115500.0,16025.62911017212,9905.0
2010-02-19,15200.0,21400.0,14159.999999999998,53914.77600000001,207000.0,131500.0,114500.0,16116.169387630718,10085.0
2010-02-22,15460.0,22150.0,14319.999999999998,55168.60800000002,209000.0,134500.0,117000.0,16161.439526360016,9820.0
2010-02-23,15340.0,22650.0,14559.999999999998,55168.60800000002,209500.0,134500.0,117000.0,16025.62911017212,9835.0
2010-02-24,15040.0,22200.0,14359.999999999998,55795.52400000001,210000.0,131500.0,114000.0,16070.899248901418,9935.0
2010-02-25,14720.0,21700.0,14159.999999999998,56579.169000000016,211500.0,128500.0,114000.0,15935.088832713518,10135.0
2010-02-26,14880.0,21000.0,14059.999999999998,56735.89800000002,215000.0,128500.0,115000.0,16206.709665089318,10090.0
2010-03-02,15400.0,21450.0,14019.999999999998,59086.83300000001,216500.0,129500.0,113500.0,16342.520081277216,9925.0
2010-03-03,15420.0,21850.0,13939.999999999998,57362.81400000001,215500.0,131000.0,114500.0,16297.249942547915,9905.0
2010-03-04,15220.0,22200.0,13559.999999999998,57989.73000000001,218000.0,131000.0,114500.0,16614.140913653016,9935.0
2010-03-05,15500.0,22500.0,13759.999999999998,57989.73000000001,223000.0,134000.0,114500.0,17021.572162216715,9795.0
2010-03-08,15720.0,22350.0,13759.999999999998,60027.20700000003,226000.0,135500.0,115000.0,17112.11243967531,9620.0
2010-03-09,15720.0,21850.0,13439.999999999998,60183.936000000016,225500.0,135500.0,114000.0,17066.842300946013,9600.0
2010-03-10,15680.0,22550.0,13679.999999999998,58616.64600000002,228000.0,135000.0,114500.0,17338.463133321813,9630.0
2010-03-11,15560.0,23150.0,13759.999999999998,59243.56200000001,224000.0,134000.0,112000.0,17202.652717133908,9645.0
2010-03-12,15560.0,23250.0,13539.999999999998,59243.56200000001,226500.0,133500.0,108000.0,17021.572162216715,9630.0
2010-03-15,15360.0,23500.0,13499.999999999998,57676.27200000001,224500.0,130500.0,107500.0,17112.11243967531,9725.0
2010-03-16,15300.0,23600.0,13399.999999999998,58930.10400000002,228500.0,131000.0,109500.0,17338.463133321813,9715.0
2010-03-17,15960.0,24150.0,13739.999999999998,59400.29100000001,234000.0,137500.0,112000.0,17383.733272051108,9495.0
2010-03-18,15940.0,23950.0,13819.999999999998,57362.81400000001,235500.0,140000.0,111500.0,17157.382578404613,9545.0
2010-03-19,16080.0,24350.0,13739.999999999998,58303.18800000003,241000.0,141000.0,115000.0,17112.11243967531,9490.0
2010-03-22,16020.0,24700.0,13799.999999999998,57676.27200000001,238000.0,139000.0,115500.0,17610.08396569761,9605.0
2010-03-23,16180.0,24950.0,13679.999999999998,59557.02000000001,233500.0,142000.0,117500.0,17745.894381885508,9500.0
2010-03-24,16380.0,25200.0,13699.999999999998,59086.83300000001,234000.0,143500.0,116500.0,17474.273549509708,9505.0
2010-03-25,16380.0,25250.0,13759.999999999998,59557.02000000001,240000.0,145500.0,117000.0,17338.463133321813,9480.0
2010-03-26,16400.0,25200.0,13659.999999999998,59243.56200000001,243000.0,146000.0,116000.0,17745.894381885508,9430.0
2010-03-29,16360.0,25900.0,13579.999999999998,59086.83300000001,242000.0,144000.0,117000.0,18108.055491719908,9465.0
2010-03-30,16280.0,26400.0,13659.999999999998,56735.89800000002,239500.0,143000.0,116000.0,18108.055491719908,9415.0
2010-03-31,16360.0,26700.0,13479.999999999998,56422.44000000001,240500.0,142000.0,115500.0,17972.24507553201,9475.0
2010-04-01,16900.0,28300.0,13719.999999999998,58773.37500000002,245000.0,150500.0,121000.0,18017.515214261308,9280.0
2010-04-02,17140.0,28150.0,13899.999999999998,57989.73000000001,250000.0,153500.0,128000.0,17655.354104426908,9240.0
2010-04-05,17400.0,29100.0,13819.999999999998,59243.56200000001,250000.0,156500.0,130500.0,16976.302023487413,9195.0
2010-04-06,17380.0,28350.0,13739.999999999998,59870.47800000001,250000.0,152000.0,129000.0,16976.302023487413,9200.0
2010-04-07,17180.0,27350.0,13599.999999999998,59870.47800000001,257000.0,154000.0,128000.0,17112.11243967531,9190.0
2010-04-08,17260.0,28150.0,13219.999999999998,60810.852000000006,258500.0,154500.0,127500.0,17383.733272051108,9180.0
2010-04-09,17120.0,28000.0,13299.999999999998,59557.02000000001,255500.0,151500.0,126500.0,17066.842300946013,9230.0
2010-04-12,16600.0,26900.0,13139.999999999998,59557.02000000001,249000.0,143000.0,118000.0,16885.76174602881,9310.0
2010-04-13,16560.0,27700.0,13099.999999999998,61281.03900000001,249000.0,144000.0,120000.0,17247.922855863213,9320.0
2010-04-14,16900.0,27900.0,13399.999999999998,61281.03900000001,251500.0,143500.0,119500.0,17564.81382696831,9175.0
2010-04-15,17100.0,27700.0,13699.999999999998,61124.31000000001,247000.0,142000.0,119000.0,17338.463133321813,9150.0
2010-04-16,16960.0,27500.0,13659.999999999998,58930.10400000002,245000.0,139500.0,119000.0,17383.733272051108,9215.0
2010-04-19,16540.0,26650.0,13699.999999999998,57519.54300000001,240000.0,138500.0,119000.0,17066.842300946013,9400.0
2010-04-20,16560.0,27000.0,13799.999999999998,56892.62700000002,245000.0,143500.0,123000.0,17112.11243967531,9325.0
2010-04-21,17040.0,28550.0,13799.999999999998,58459.91700000002,258500.0,146000.0,125000.0,17112.11243967531,9150.0
2010-04-22,16820.0,28700.0,13799.999999999998,57989.73000000001,264500.0,142000.0,125500.0,18062.78535299061,9215.0
