date,A005930,A000660,A035720,A035420,A114800
2010-01-04,16180.0,24100.0,14679.999999999998,60497.39400000002,9385.0
2010-01-05,16440.0,23350.0,14799.999999999998,60497.39400000002,9420.0
2010-01-06,16820.0,24550.0,14859.999999999998,60183.936000000016,9330.0
2010-01-07,16260.0,24400.0,14679.999999999998,60340.66500000002,9480.0
2010-01-08,16420.0,24650.0,14579.999999999998,58303.18800000003,9430.0
2010-01-11,15940.0,24000.0,14399.999999999998,57519.54300000001,9450.0
2010-01-12,16180.0,24050.0,14499.999999999998,60183.936000000016,9450.0
2010-01-13,15940.0,24050.0,14359.999999999998,58616.64600000002,9585.0
2010-01-14,16540.0,25450.0,14219.999999999998,57206.08500000002,9495.0
2010-01-15,16840.0,26100.0,15499.999999999998,56735.89800000002,9445.0
2010-01-18,16860.0,25900.0,15379.999999999998,58459.91700000002,9370.0
2010-01-19,16460.0,25600.0,14999.999999999998,58146.45900000001,9360.0
2010-01-20,16680.0,25400.0,14979.999999999998,58303.18800000003,9370.0
2010-01-21,17000.0,25950.0,14799.999999999998,59243.56200000001,9300.0
2010-01-22,16500.0,26100.0,14579.999999999998,57833.00100000001,9535.0
2010-01-25,16840.0,26050.0,14419.999999999998,58930.10400000002,9570.0
2010-01-26,16300.0,23600.0,14099.999999999998,58616.64600000002,9780.0
2010-01-27,16000.0,23250.0,13939.999999999998,57989.73000000001,9845.0
2010-01-28,16160.0,23600.0,14479.999999999998,57049.35600000002,9740.0
2010-01-29,15680.0,22750.0,14119.999999999998,54228.23400000001,10015.0
2010-02-01,15540.0,23100.0,14359.999999999998,52817.67300000001,9970.0
2010-02-02,15440.0,22000.0,14559.999999999998,52817.67300000001,10045.0
2010-02-03,15540.0,21300.0,14439.999999999998,52190.75700000001,9915.0
2010-02-04,15520.0,21750.0,13999.999999999998,53914.77600000001,9935.0
2010-02-05,15000.0,21300.0,13559.999999999998,52347.48600000001,10245.0
2010-02-08,14960.0,21700.0,13299.999999999998,53131.13100000001,10320.0
2010-02-09,15220.0,22650.0,13419.999999999998,51407.11200000001,10185.0
2010-02-10,15100.0,22700.0,13839.999999999998,50466.73800000001,10230.0
2010-02-11,15260.0,21950.0,14299.999999999998,52347.48600000001,10025.0
2010-02-12,15000.0,21600.0,14379.999999999998,54384.96300000001,10080.0
2010-02-16,15120.0,21300.0,14359.999999999998,55325.33700000002,10010.0
2010-02-17,15580.0,22350.0,14579.999999999998,55482.066000000006,9835.0
2010-02-18,15500.0,22150.0,14499.999999999998,54071.50500000001,9905.0
2010-02-19,15200.0,21400.0,14159.999999999998,53914.77600000001,10085.0
2010-02-22,15460.0,22150.0,14319.999999999998,55168.60800000002,9820.0
2010-02-23,15340.0,22650.0,14559.999999999998,55168.60800000002,9835.0
2010-02-24,15040.0,22200.0,14359.999999999998,55795.52400000001,9935.0
2010-02-25,14720.0,21700.0,14159.999999999998,56579.169000000016,10135.0
2010-02-26,14880.0,21000.0,14059.999999999998,56735.89800000002,10090.0
2010-03-02,15400.0,21450.0,14019.999999999998,59086.83300000001,9925.0
2010-03-03,15420.0,21850.0,13939.999999999998,57362.81400000001,9905.0
2010-03-04,15220.0,22200.0,13559.999999999998,57989.73000000001,9935.0
2010-03-05,15500.0,22500.0,13759.999999999998,57989.73000000001,9795.0
2010-03-08,15720.0,22350.0,13759.999999999998,60027.20700000003,9620.0
2010-03-09,15720.0,21850.0,13439.999999999998,60183.936000000016,9600.0
2010-03-10,15680.0,22550.0,13679.999999999998,58616.64600000002,9630.0
2010-03-11,15560.0,23150.0,13759.999999999998,59243.56200000001,9645.0
2010-03-12,15560.0,23250.0,13539.999999999998,59243.56200000001,9630.0
2010-03-15,15360.0,23500.0,13499.999999999998,57676.27200000001,9725.0
2010-03-16,15300.0,23600.0,13399.999999999998,58930.10400000002,9715.0
2010-03-17,15960.0,24150.0,13739.999999999998,59400.29100000001,9495.0
2010-03-18,15940.0,23950.0,13819.999999999998,57362.81400000001,9545.0
2010-03-19,16080.0,24350.0,13739.999999999998,58303.18800000003,9490.0
2010-03-22,16020.0,24700.0,13799.999999999998,57676.27200000001,9605.0
2010-03-23,16180.0,24950.0,13679.999999999998,59557.02000000001,9500.0
2010-03-24,16380.0,25200.0,13699.999999999998,59086.83300000001,9505.0
2010-03-25,16380.0,25250.0,13759.999999999998,59557.02000000001,9480.0
2010-03-26,16400.0,25200.0,13659.999999999998,59243.56200000001,9430.0
2010-03-29,16360.0,25900.0,13579.999999999998,59086.83300000001,9465.0
2010-03-30,16280.0,26400.0,13659.999999999998,56735.89800000002,9415.0
2010-03-31,16360.0,26700.0,13479.999999999998,56422.44000000001,9475.0
2010-04-01,16900.0,28300.0,13719.999999999998,58773.37500000002,9280.0
2010-04-02,17140.0,28150.0,13899.999999999998,57989.73000000001,9240.0
2010-04-05,17400.0,29100.0,13819.999999999998,59243.56200000001,9195.0
2010-04-06,17380.0,28350.0,13739.999999999998,59870.47800000001,9200.0
2010-04-07,17180.0,27350.0,13599.999999999998,59870.47800000001,9190.0
2010-04-08,17260.0,28150.0,13219.999999999998,60810.852000000006,9180.0
2010-04-09,17120.0,28000.0,13299.999999999998,59557.02000000001,9230.0
2010-04-12,16600.0,26900.0,13139.999999999998,59557.02000000001,9310.0
2010-04-13,16560.0,27700.0,13099.999999999998,61281.03900000001,9320.0
2010-04-14,16900.0,27900.0,13399.999999999998,61281.03900000001,9175.0
2010-04-15,17100.0,27700.0,13699.999999999998,61124.31000000001,9150.0
2010-04-16,16960.0,27500.0,13659.999999999998,58930.10400000002,9215.0
2010-04-19,16540.0,26650.0,13699.999999999998,57519.54300000001,9400.0
2010-04-20,16560.0,27000.0,13799.999999999998,56892.62700000002,9325.0
2010-04-21,17040.0,28550.0,13799.999999999998,58459.91700000002,9150.0
2010-04-22,16820.0,28700.0,13799.999999999998,57989.73000000001,9215.0
2010-04-23,16600.0,28500.0,13779.999999999998,57989.73000000001,9205.0
2010-04-26,16680.0,28500.0,13799.999999999998,59243.56200000001,9090.0
2010-04-27,16700.0,27500.0,13799.999999999998,59870.47800000001,9130.0
2010-04-28,16500.0,27450.0,13639.999999999998,59870.47800000001,9260.0
2010-04-29,16500.0,27700.0,13599.999999999998,59557.02000000001,9245.0
2010-04-30,16980.0,28400.0,13319.999999999998,58146.45900000001,9170.0
2010-05-03,16580.0,27600.0,13799.999999999998,56422.44000000001,9305.0
2010-05-04,16680.0,27050.0,15059.999999999998,54698.42100000001,9325.0
2010-05-06,16280.0,26350.0,15279.999999999998,56579.169000000016,9535.0
2010-05-07,15880.0,26350.0,15899.999999999998,55011.87900000002,9765.0
2010-05-10,16060.0,26900.0,15659.999999999998,55638.79500000001,9585.0
2010-05-11,15820.0,26600.0,15499.999999999998,55952.25300000001,9645.0
2010-05-12,15780.0,25700.0,16239.999999999998,57049.35600000002,9670.0
2010-05-13,16260.0,26850.0,16500.0,57049.35600000002,9465.0
2010-05-14,16200.0,26600.0,16199.999999999998,57049.35600000002,9475.0
2010-05-17,15680.0,25050.0,16199.999999999998,56265.71100000001,9715.0
2010-05-18,15840.0,24150.0,16279.999999999998,55638.79500000001,9750.0
2010-05-19,15460.0,24500.0,16239.999999999998,55011.87900000002,9850.0
2010-05-20,15120.0,23750.0,16059.999999999998,56422.44000000001,10015.0
2010-05-24,15160.0,24100.0,15939.999999999998,55325.33700000002,9955.0
2010-05-25,14820.0,23800.0,15779.999999999998,54698.42100000001,10255.0
2010-05-26,15000.0,24700.0,15639.999999999998,54698.42100000001,10150.0
2010-05-27,15440.0,25650.0,15119.999999999998,53287.86000000002,9965.0
2010-05-28,15560.0,25700.0,14659.999999999998,54228.23400000001,9885.0
2010-05-31,15520.0,25150.0,15719.999999999998,54541.69200000001,9790.0
2010-06-01,15360.0,24600.0,15559.999999999998,56108.98200000001,9830.0
2010-06-03,15540.0,24900.0,15699.999999999998,56579.169000000016,9580.0
2010-06-04,15860.0,26400.0,15639.999999999998,57362.81400000001,9560.0
2010-06-07,15740.0,26650.0,15639.999999999998,56108.98200000001,9730.0
2010-06-08,15700.0,26450.0,16700.0,57049.35600000002,9625.0
2010-06-09,15400.0,25250.0,16860.0,57833.00100000001,9695.0
2010-06-10,15460.0,25900.0,16940.0,56735.89800000002,9590.0
2010-06-11,15940.0,25800.0,16640.0,58616.64600000002,9465.0
2010-06-14,16140.0,26000.0,17100.0,60497.39400000002,9350.0
2010-06-15,15960.0,27100.0,17000.0,59713.74900000001,9345.0
2010-06-16,16380.0,27300.0,16980.0,59400.29100000001,9280.0
2010-06-17,16340.0,28200.0,16880.0,57989.73000000001,9285.0
2010-06-18,16440.0,28150.0,17000.0,57833.00100000001,9270.0
2010-06-21,16600.0,28250.0,17260.0,59086.83300000001,9110.0
2010-06-22,16320.0,27200.0,17320.0,59557.02000000001,9145.0
2010-06-23,16100.0,27050.0,16820.0,58616.64600000002,9200.0
2010-06-24,16400.0,27150.0,16740.0,58459.91700000002,9120.0
2010-06-25,16100.0,26450.0,16940.0,57049.35600000002,9210.0
2010-06-28,15920.0,26050.0,17060.0,57206.08500000002,9180.0
2010-06-29,15840.0,25600.0,16780.0,56735.89800000002,9320.0
2010-06-30,15480.0,25050.0,16920.0,57519.54300000001,9400.0
2010-07-01,15320.0,25500.0,16400.0,59086.83300000001,9510.0
2010-07-02,15340.0,25300.0,15959.999999999998,58773.37500000002,9565.0
2010-07-05,15340.0,24750.0,16620.0,60967.58100000001,9540.0
2010-07-06,15500.0,25850.0,16660.0,63631.97400000003,9500.0
2010-07-07,15380.0,25150.0,16500.0,60967.58100000001,9565.0
2010-07-08,15500.0,25350.0,16540.0,60967.58100000001,9385.0
2010-07-09,15920.0,25700.0,16780.0,62064.68400000002,9230.0
2010-07-12,16040.0,25900.0,16900.0,61751.22600000003,9200.0
2010-07-13,15920.0,24900.0,16760.0,61124.31000000001,9155.0
2010-07-14,16480.0,25750.0,16560.0,60967.58100000001,9010.0
